form	label	len	freq	train_freq	dev_freq	form	form_freq	label	num_labels	label_freq
영화	CV_ART	2	5241	4246	995	영화	5242	CV_ART	2	7666
영화	FD_ART	2	1	1	0	영화	5242	FD_ART	2	50
한국	LCP_COUNTRY	2	927	745	182	한국	977	LCP_COUNTRY	4	4628
한국	OGG_SPORTS	2	40	32	8	한국	977	OGG_SPORTS	4	1017
한국	OGG_POLITICS	2	9	6	3	한국	977	OGG_POLITICS	4	4964
한국	CV_LANGUAGE	2	1	0	1	한국	977	CV_LANGUAGE	4	60
이날	DT_DAY	2	809	647	162	이날	809	DT_DAY	1	5422
서울	LCP_CAPITALCITY	2	786	630	156	서울	788	LCP_CAPITALCITY	2	1162
서울	OGG_SPORTS	2	2	2	0	서울	788	OGG_SPORTS	2	1017
배우	CV_OCCUPATION	2	773	622	151	배우	773	CV_OCCUPATION	1	4368
경찰	OGG_POLITICS	2	735	607	128	경찰	755	OGG_POLITICS	2	4964
경찰	CV_OCCUPATION	2	20	18	2	경찰	755	CV_OCCUPATION	2	4368
미국	LCP_COUNTRY	2	554	467	87	미국	605	LCP_COUNTRY	3	4628
미국	OGG_POLITICS	2	45	38	7	미국	605	OGG_POLITICS	3	4964
미국	OGG_SPORTS	2	6	4	2	미국	605	OGG_SPORTS	3	1017
A	PS_NAME	1	589	484	105	A	593	PS_NAME	3	21537
A	QT_ORDER	1	3	2	1	A	593	QT_ORDER	3	2695
A	OGG_ECONOMY	1	1	1	0	A	593	OGG_ECONOMY	3	2003
감독	CV_OCCUPATION	2	513	409	104	감독	568	CV_OCCUPATION	2	4368
감독	CV_POSITION	2	55	53	2	감독	568	CV_POSITION	2	4600
일본	LCP_COUNTRY	2	498	404	94	일본	526	LCP_COUNTRY	3	4628
일본	OGG_POLITICS	2	17	16	1	일본	526	OGG_POLITICS	3	4964
일본	OGG_SPORTS	2	11	11	0	일본	526	OGG_SPORTS	3	1017
드라마	CV_ART	3	512	399	113	드라마	522	CV_ART	2	7666
드라마	AFA_VIDEO	3	10	10	0	드라마	522	AFA_VIDEO	2	2799
김	PS_NAME	1	483	401	82	김	488	PS_NAME	2	21537
김	CV_FOOD	1	5	4	1	김	488	CV_FOOD	2	402
대통령	CV_POSITION	3	458	388	70	대통령	468	CV_POSITION	2	4600
대통령	OGG_POLITICS	3	10	9	1	대통령	468	OGG_POLITICS	2	4964
오후	TI_DURATION	2	428	366	62	오후	428	TI_DURATION	1	2402
중국	LCP_COUNTRY	2	398	318	80	중국	420	LCP_COUNTRY	4	4628
중국	OGG_POLITICS	2	15	13	2	중국	420	OGG_POLITICS	4	4964
중국	OGG_SPORTS	2	6	6	0	중국	420	OGG_SPORTS	4	1017
중국	CV_TRIBE	2	1	0	1	중국	420	CV_TRIBE	4	271
10점	QT_OTHERS	3	377	321	56	10점	385	QT_OTHERS	3	1917
10점	QT_COUNT	3	6	6	0	10점	385	QT_COUNT	3	3399
10점	QT_ORDER	3	2	2	0	10점	385	QT_ORDER	3	2695
오전	TI_DURATION	2	355	300	55	오전	355	TI_DURATION	1	2402
북한	LCP_COUNTRY	2	233	195	38	북한	351	LCP_COUNTRY	3	4628
북한	OGG_POLITICS	2	116	97	19	북한	351	OGG_POLITICS	3	4964
북한	OGG_SPORTS	2	2	2	0	북한	351	OGG_SPORTS	3	1017
박	PS_NAME	1	335	287	48	박	337	PS_NAME	2	21537
박	PS_CHARACTER	1	2	1	1	박	337	PS_CHARACTER	2	1027
의원	CV_POSITION	2	327	264	63	의원	327	CV_POSITION	1	4600
정부	OGG_POLITICS	2	310	268	42	정부	310	OGG_POLITICS	1	4964
1점	QT_OTHERS	2	298	269	29	1점	305	QT_OTHERS	3	1917
1점	QT_SPORTS	2	6	4	2	1점	305	QT_SPORTS	3	376
1점	QT_COUNT	2	1	1	0	1점	305	QT_COUNT	3	3399
이	PS_NAME	1	304	265	39	이	304	PS_NAME	1	21537
검찰	OGG_POLITICS	2	290	244	46	검찰	290	OGG_POLITICS	1	4964
하나	QT_COUNT	2	273	228	45	하나	287	QT_COUNT	5	3399
하나	QT_MAN_COUNT	2	11	10	1	하나	287	QT_MAN_COUNT	5	2254
하나	QT_ORDER	2	1	1	0	하나	287	QT_ORDER	5	2695
하나	PS_NAME	2	1	1	0	하나	287	PS_NAME	5	21537
하나	OGG_ECONOMY	2	1	0	1	하나	287	OGG_ECONOMY	5	2003
지난해	DT_YEAR	3	268	226	42	지난해	268	DT_YEAR	1	2426
1편	QT_ORDER	2	219	195	24	1편	219	QT_ORDER	1	2695
대표	CV_POSITION	2	189	154	35	대표	189	CV_POSITION	1	4600
가수	CV_OCCUPATION	2	186	152	34	가수	186	CV_OCCUPATION	1	4368
가족	CV_RELATION	2	185	142	43	가족	185	CV_RELATION	1	1813
주인공	CV_POSITION	3	181	149	32	주인공	181	CV_POSITION	1	4600
회장	CV_POSITION	2	176	143	33	회장	176	CV_POSITION	1	4600
B	PS_NAME	1	173	151	22	B	175	PS_NAME	2	21537
B	QT_ORDER	1	2	1	1	B	175	QT_ORDER	2	2695
학생	CV_OCCUPATION	2	171	147	24	학생	171	CV_OCCUPATION	1	4368
오늘	DT_DAY	2	159	123	36	오늘	159	DT_DAY	1	5422
국회	OGG_POLITICS	2	157	131	26	국회	158	OGG_POLITICS	2	4964
국회	AF_BUILDING	2	1	1	0	국회	158	AF_BUILDING	2	655
아들	CV_RELATION	2	156	126	30	아들	156	CV_RELATION	1	1813
올해	DT_YEAR	2	154	131	23	올해	154	DT_YEAR	1	2426
부산	LCP_CITY	2	151	109	42	부산	153	LCP_CITY	2	1768
부산	OGG_SPORTS	2	2	1	1	부산	153	OGG_SPORTS	2	1017
새누리당	OGG_POLITICS	4	153	124	29	새누리당	153	OGG_POLITICS	1	4964
프랑스	LCP_COUNTRY	3	145	125	20	프랑스	152	LCP_COUNTRY	2	4628
프랑스	OGG_SPORTS	3	7	5	2	프랑스	152	OGG_SPORTS	2	1017
선수	CV_OCCUPATION	2	148	122	26	선수	148	CV_OCCUPATION	1	4368
지난달	DT_MONTH	3	145	126	19	지난달	145	DT_MONTH	1	1474
17일	DT_DAY	3	141	113	28	17일	141	DT_DAY	1	5422
러시아	LCP_COUNTRY	3	124	105	19	러시아	141	LCP_COUNTRY	3	4628
러시아	OGG_SPORTS	3	10	8	2	러시아	141	OGG_SPORTS	3	1017
러시아	OGG_POLITICS	3	7	7	0	러시아	141	OGG_POLITICS	3	4964
영국	LCP_COUNTRY	2	136	114	22	영국	139	LCP_COUNTRY	3	4628
영국	OGG_SPORTS	2	2	2	0	영국	139	OGG_SPORTS	3	1017
영국	OGG_POLITICS	2	1	1	0	영국	139	OGG_POLITICS	3	4964
MBC	OGG_MEDIA	3	137	109	28	MBC	137	OGG_MEDIA	1	1276
앞	TM_DIRECTION	1	137	106	31	앞	137	TM_DIRECTION	1	651
30분	TI_MINUTE	3	113	82	31	30분	136	TI_MINUTE	2	434
30분	TI_DURATION	3	23	22	1	30분	136	TI_DURATION	2	2402
눈	AM_PART	1	133	103	30	눈	133	AM_PART	1	1021
5일	DT_DAY	2	126	98	28	5일	131	DT_DAY	2	5422
5일	DT_DURATION	2	5	4	1	5일	131	DT_DURATION	2	1911
트위터	TMI_SERVICE	3	121	105	16	트위터	131	TMI_SERVICE	2	716
트위터	OGG_ECONOMY	3	10	7	3	트위터	131	OGG_ECONOMY	2	2003
딸	CV_RELATION	1	129	95	34	딸	129	CV_RELATION	1	1813
페이스북	TMI_SERVICE	4	90	75	15	페이스북	127	TMI_SERVICE	2	716
페이스북	OGG_ECONOMY	4	37	36	1	페이스북	127	OGG_ECONOMY	2	2003
세월호	AF_TRANSPORT	3	121	109	12	세월호	126	AF_TRANSPORT	2	1217
세월호	EV_OTHERS	3	5	5	0	세월호	126	EV_OTHERS	2	981
2	QT_ORDER	1	101	92	9	2	121	QT_ORDER	4	2695
2	QT_OTHERS	1	14	11	3	2	121	QT_OTHERS	4	1917
2	QT_COUNT	1	4	4	0	2	121	QT_COUNT	4	3399
2	TMI_MODEL	1	2	2	0	2	121	TMI_MODEL	4	72
징역	CV_LAW	2	121	93	28	징역	121	CV_LAW	1	1162
10일	DT_DAY	3	117	99	18	10일	119	DT_DAY	2	5422
10일	DT_DURATION	3	2	1	1	10일	119	DT_DURATION	2	1911
2명	QT_MAN_COUNT	2	117	100	17	2명	117	QT_MAN_COUNT	1	2254
1	QT_ORDER	1	81	72	9	1	115	QT_ORDER	7	2695
1	QT_OTHERS	1	25	22	3	1	115	QT_OTHERS	7	1917
1	DT_MONTH	1	3	3	0	1	115	DT_MONTH	7	1474
1	QT_SPORTS	1	2	2	0	1	115	QT_SPORTS	7	376
1	QT_COUNT	1	2	0	2	1	115	QT_COUNT	7	3399
1	QT_AGE	1	1	1	0	1	115	QT_AGE	7	1336
1	DT_DAY	1	1	1	0	1	115	DT_DAY	7	5422
박근혜	PS_NAME	3	115	98	17	박근혜	115	PS_NAME	1	21537
1일	DT_DAY	2	111	88	23	1일	114	DT_DAY	2	5422
1일	DT_DURATION	2	3	2	1	1일	114	DT_DURATION	2	1911
둘	QT_MAN_COUNT	1	79	70	9	둘	114	QT_MAN_COUNT	4	2254
둘	QT_COUNT	1	33	25	8	둘	114	QT_COUNT	4	3399
둘	QT_OTHERS	1	1	0	1	둘	114	QT_OTHERS	4	1917
둘	QT_ORDER	1	1	1	0	둘	114	QT_ORDER	4	2695
23일	DT_DAY	3	113	91	22	23일	113	DT_DAY	1	5422
26일	DT_DAY	3	113	89	24	26일	113	DT_DAY	1	5422
8일	DT_DAY	2	113	95	18	8일	113	DT_DAY	1	5422
대한민국	LCP_COUNTRY	4	102	88	14	대한민국	113	LCP_COUNTRY	3	4628
대한민국	OGG_POLITICS	4	8	6	2	대한민국	113	OGG_POLITICS	3	4964
대한민국	OGG_SPORTS	4	3	2	1	대한민국	113	OGG_SPORTS	3	1017
3명	QT_MAN_COUNT	2	112	93	19	3명	112	QT_MAN_COUNT	1	2254
청와대	OGG_POLITICS	3	93	84	9	청와대	112	OGG_POLITICS	2	4964
청와대	AF_BUILDING	3	19	16	3	청와대	112	AF_BUILDING	2	655
19일	DT_DAY	3	110	71	39	19일	111	DT_DAY	2	5422
19일	DT_DURATION	3	1	1	0	19일	111	DT_DURATION	2	1911
24일	DT_DAY	3	110	84	26	24일	110	DT_DAY	1	5422
2편	QT_ORDER	2	108	96	12	2편	110	QT_ORDER	2	2695
2편	QT_COUNT	2	2	1	1	2편	110	QT_COUNT	2	3399
경기도	LCP_PROVINCE	3	105	82	23	경기도	110	LCP_PROVINCE	2	1100
경기도	OGG_POLITICS	3	5	4	1	경기도	110	OGG_POLITICS	2	4964
민주당	OGG_POLITICS	3	110	88	22	민주당	110	OGG_POLITICS	1	4964
13일	DT_DAY	3	109	84	25	13일	109	DT_DAY	1	5422
3일	DT_DAY	2	104	78	26	3일	109	DT_DAY	2	5422
3일	DT_DURATION	2	5	4	1	3일	109	DT_DURATION	2	1911
전날	DT_DAY	2	109	82	27	전날	109	DT_DAY	1	5422
12일	DT_DAY	3	108	89	19	12일	108	DT_DAY	1	5422
2011년	DT_YEAR	5	108	82	26	2011년	108	DT_YEAR	1	2426
서울시	LCP_CAPITALCITY	3	59	52	7	서울시	108	LCP_CAPITALCITY	2	1162
서울시	OGG_POLITICS	3	49	44	5	서울시	108	OGG_POLITICS	2	4964
한번	QT_COUNT	2	108	94	14	한번	108	QT_COUNT	1	3399
1위	QT_ORDER	2	107	86	21	1위	107	QT_ORDER	1	2695
4일	DT_DAY	2	100	76	24	4일	107	DT_DAY	2	5422
4일	DT_DURATION	2	7	3	4	4일	107	DT_DURATION	2	1911
손	AM_PART	1	92	77	15	손	107	AM_PART	2	1021
손	PS_NAME	1	15	14	1	손	107	PS_NAME	2	21537
15일	DT_DAY	3	104	82	22	15일	106	DT_DAY	2	5422
15일	DT_DURATION	3	2	2	0	15일	106	DT_DURATION	2	1911
16일	DT_DAY	3	106	89	17	16일	106	DT_DAY	1	5422
교수	CV_OCCUPATION	2	106	82	24	교수	106	CV_OCCUPATION	1	4368
10월	DT_MONTH	3	103	91	12	10월	105	DT_MONTH	2	1474
10월	DT_DURATION	3	2	2	0	10월	105	DT_DURATION	2	1911
11일	DT_DAY	3	105	85	20	11일	105	DT_DAY	1	5422
7일	DT_DAY	2	104	81	23	7일	105	DT_DAY	2	5422
7일	DT_DURATION	2	1	1	0	7일	105	DT_DURATION	2	1911
윤	PS_NAME	1	105	86	19	윤	105	PS_NAME	1	21537
한국영화	CV_ART	4	105	86	19	한국영화	105	CV_ART	1	7666
얼굴	AM_PART	2	104	78	26	얼굴	104	AM_PART	1	1021
인천	LCP_CITY	2	104	80	24	인천	104	LCP_CITY	1	1768
9일	DT_DAY	2	102	81	21	9일	103	DT_DAY	2	5422
9일	DT_DURATION	2	1	1	0	9일	103	DT_DURATION	2	1911
5월	DT_MONTH	2	102	76	26	5월	102	DT_MONTH	1	1474
밤	TI_DURATION	1	102	83	19	밤	102	TI_DURATION	1	2402
정	PS_NAME	1	101	86	15	정	102	PS_NAME	2	21537
정	OGG_POLITICS	1	1	1	0	정	102	OGG_POLITICS	2	4964
20일	DT_DAY	3	101	78	23	20일	101	DT_DAY	1	5422
21일	DT_DAY	3	101	84	17	21일	101	DT_DAY	1	5422
25일	DT_DAY	3	101	83	18	25일	101	DT_DAY	1	5422
최	PS_NAME	1	101	83	18	최	101	PS_NAME	1	21537
29일	DT_DAY	3	100	87	13	29일	100	DT_DAY	1	5422
14일	DT_DAY	3	98	78	20	14일	98	DT_DAY	1	5422
이날 오후	TI_DURATION	5	98	98	0	이날 오후	98	TI_DURATION	1	2402
장관	CV_POSITION	2	98	80	18	장관	98	CV_POSITION	1	4600
성룡	PS_NAME	2	97	85	12	성룡	97	PS_NAME	1	21537
가슴	AM_PART	2	96	78	18	가슴	96	AM_PART	1	1021
1월	DT_MONTH	2	95	81	14	1월	95	DT_MONTH	1	1474
2013년	DT_YEAR	5	95	71	24	2013년	95	DT_YEAR	1	2426
박 대통령	PS_NAME	5	95	88	7	박 대통령	95	PS_NAME	1	21537
조	PS_NAME	1	93	81	12	조	95	PS_NAME	2	21537
조	PS_CHARACTER	1	2	0	2	조	95	PS_CHARACTER	2	1027
18일	DT_DAY	3	94	66	28	18일	94	DT_DAY	1	5422
1명	QT_MAN_COUNT	2	94	73	21	1명	94	QT_MAN_COUNT	1	2254
22일	DT_DAY	3	93	77	16	22일	94	DT_DAY	2	5422
22일	DT_DURATION	3	1	1	0	22일	94	DT_DURATION	2	1911
기자	CV_OCCUPATION	2	94	71	23	기자	94	CV_OCCUPATION	1	4368
브라질	LCP_COUNTRY	3	79	67	12	브라질	94	LCP_COUNTRY	2	4628
브라질	OGG_SPORTS	3	15	9	6	브라질	94	OGG_SPORTS	2	1017
애플	OGG_ECONOMY	2	94	80	14	애플	94	OGG_ECONOMY	1	2003
작가	CV_OCCUPATION	2	93	74	19	작가	93	CV_OCCUPATION	1	4368
하루	DT_DURATION	2	93	71	22	하루	93	DT_DURATION	1	1911
27일	DT_DAY	3	91	72	19	27일	91	DT_DAY	1	5422
광주	LCP_CITY	2	89	69	20	광주	90	LCP_CITY	2	1768
광주	OGG_SPORTS	2	1	1	0	광주	90	OGG_SPORTS	2	1017
두 사람	QT_MAN_COUNT	4	90	82	8	두 사람	90	QT_MAN_COUNT	1	2254
28일	DT_DAY	3	89	68	21	28일	89	DT_DAY	1	5422
3월	DT_MONTH	2	89	69	20	3월	89	DT_MONTH	1	1474
우리나라	LCP_COUNTRY	4	89	72	17	우리나라	89	LCP_COUNTRY	1	4628
12월	DT_MONTH	3	86	61	25	12월	88	DT_MONTH	3	1474
12월	DT_OTHERS	3	1	1	0	12월	88	DT_OTHERS	3	1709
12월	DT_DURATION	3	1	1	0	12월	88	DT_DURATION	3	1911
박근혜 대통령	PS_NAME	7	88	74	14	박근혜 대통령	88	PS_NAME	1	21537
이날 오전	TI_DURATION	5	87	87	0	이날 오전	87	TI_DURATION	1	2402
2012년	DT_YEAR	5	86	67	19	2012년	86	DT_YEAR	1	2426
4월	DT_MONTH	2	85	63	22	4월	86	DT_MONTH	2	1474
4월	DT_DURATION	2	1	0	1	4월	86	DT_DURATION	2	1911
아버지	CV_RELATION	3	86	73	13	아버지	86	CV_RELATION	1	1813
30일	DT_DAY	3	83	70	13	30일	85	DT_DAY	2	5422
30일	DT_DURATION	3	2	2	0	30일	85	DT_DURATION	2	1911
2010년	DT_YEAR	5	84	58	26	2010년	84	DT_YEAR	1	2426
6일	DT_DAY	2	84	67	17	6일	84	DT_DAY	1	5422
경기	LCP_PROVINCE	2	82	67	15	경기	84	LCP_PROVINCE	2	1100
경기	EV_SPORTS	2	2	2	0	경기	84	EV_SPORTS	2	860
새벽	TI_DURATION	2	84	74	10	새벽	84	TI_DURATION	1	2402
홍콩	LCP_PROVINCE	2	83	68	15	홍콩	84	LCP_PROVINCE	2	1100
홍콩	OGG_SPORTS	2	1	0	1	홍콩	84	OGG_SPORTS	2	1017
KBS	OGG_MEDIA	3	83	72	11	KBS	83	OGG_MEDIA	1	1276
국정원	OGG_POLITICS	3	83	76	7	국정원	83	OGG_POLITICS	1	4964
대구	LCP_CITY	2	80	64	16	대구	83	LCP_CITY	3	1768
대구	PS_CHARACTER	2	2	2	0	대구	83	PS_CHARACTER	3	1027
대구	AM_FISH	2	1	1	0	대구	83	AM_FISH	3	11
독일	LCP_COUNTRY	2	72	60	12	독일	83	LCP_COUNTRY	3	4628
독일	OGG_SPORTS	2	9	7	2	독일	83	OGG_SPORTS	3	1017
독일	OGG_POLITICS	2	2	1	1	독일	83	OGG_POLITICS	3	4964
7월	DT_MONTH	2	81	65	16	7월	81	DT_MONTH	1	1474
스마트폰	TMI_HW	4	80	67	13	스마트폰	80	TMI_HW	1	854
2014년	DT_YEAR	5	79	61	18	2014년	79	DT_YEAR	1	2426
9월	DT_MONTH	2	78	60	18	9월	79	DT_MONTH	2	1474
9월	DT_OTHERS	2	1	1	0	9월	79	DT_OTHERS	2	1709
법원	OGG_LAW	2	79	68	11	법원	79	OGG_LAW	1	501
한 번	QT_COUNT	3	78	57	21	한 번	78	QT_COUNT	1	3399
8월	DT_MONTH	2	73	60	13	8월	77	DT_MONTH	2	1474
8월	DT_DURATION	2	4	2	2	8월	77	DT_DURATION	2	1911
인터뷰	AFA_VIDEO	3	77	77	0	인터뷰	77	AFA_VIDEO	1	2799
신	PS_NAME	1	76	60	16	신	76	PS_NAME	1	21537
10년	DT_DURATION	3	75	63	12	10년	75	DT_DURATION	1	1911
머리	AM_PART	2	74	58	16	머리	75	AM_PART	2	1021
머리	PS_NAME	2	1	1	0	머리	75	PS_NAME	2	21537
애니	CV_ART	2	75	65	10	애니	75	CV_ART	1	7666
4명	QT_MAN_COUNT	2	74	63	11	4명	74	QT_MAN_COUNT	1	2254
남편	CV_RELATION	2	74	61	13	남편	74	CV_RELATION	1	1813
부부	CV_RELATION	2	74	63	11	부부	74	CV_RELATION	1	1813
31일	DT_DAY	3	73	62	11	31일	73	DT_DAY	1	5422
유	PS_NAME	1	73	66	7	유	73	PS_NAME	1	21537
10시	TI_HOUR	3	72	55	17	10시	72	TI_HOUR	1	915
11월	DT_MONTH	3	72	53	19	11월	72	DT_MONTH	1	1474
아내	CV_RELATION	2	72	58	14	아내	72	CV_RELATION	1	1813
2일	DT_DAY	2	70	57	13	2일	71	DT_DAY	2	5422
2일	DT_DURATION	2	1	1	0	2일	71	DT_DURATION	2	1911
한	PS_NAME	1	22	15	7	한	71	PS_NAME	5	21537
한	OGG_POLITICS	1	22	20	2	한	71	OGG_POLITICS	5	4964
한	LCP_COUNTRY	1	19	15	4	한	71	LCP_COUNTRY	5	4628
한	QT_COUNT	1	5	3	2	한	71	QT_COUNT	5	3399
한	QT_MAN_COUNT	1	3	0	3	한	71	QT_MAN_COUNT	5	2254
2월	DT_MONTH	2	70	56	14	2월	70	DT_MONTH	1	1474
2점	QT_OTHERS	2	60	51	9	2점	70	QT_OTHERS	4	1917
2점	QT_SPORTS	2	6	4	2	2점	70	QT_SPORTS	4	376
2점	QT_COUNT	2	3	1	2	2점	70	QT_COUNT	4	3399
2점	QT_ORDER	2	1	1	0	2점	70	QT_ORDER	4	2695
엄마	CV_RELATION	2	70	55	15	엄마	70	CV_RELATION	1	1813
강	PS_NAME	1	68	63	5	강	69	PS_NAME	2	21537
강	PS_CHARACTER	1	1	1	0	강	69	PS_CHARACTER	2	1027
네이버	TMI_SERVICE	3	63	53	10	네이버	69	TMI_SERVICE	2	716
네이버	OGG_ECONOMY	3	6	6	0	네이버	69	OGG_ECONOMY	2	2003
삼성전자	OGG_ECONOMY	4	69	60	9	삼성전자	69	OGG_ECONOMY	1	2003
안	PS_NAME	1	69	57	12	안	69	PS_NAME	1	21537
차	AF_TRANSPORT	1	62	49	13	차	69	AF_TRANSPORT	3	1217
차	PS_NAME	1	6	5	1	차	69	PS_NAME	3	21537
차	CV_DRINK	1	1	1	0	차	69	CV_DRINK	3	175
총리	CV_POSITION	2	69	50	19	총리	69	CV_POSITION	1	4600
SBS	OGG_MEDIA	3	68	55	13	SBS	68	OGG_MEDIA	1	1276
아침	TI_DURATION	2	68	62	6	아침	68	TI_DURATION	1	2402
포스터	CV_ART	3	67	55	12	포스터	68	CV_ART	2	7666
포스터	PS_NAME	3	1	1	0	포스터	68	PS_NAME	2	21537
9시	TI_HOUR	2	66	49	17	9시	66	TI_HOUR	1	915
애니메이션	CV_ART	5	66	51	15	애니메이션	66	CV_ART	1	7666
0점	QT_OTHERS	2	63	56	7	0점	65	QT_OTHERS	3	1917
0점	QT_SPORTS	2	1	1	0	0점	65	QT_SPORTS	3	376
0점	QT_COUNT	2	1	1	0	0점	65	QT_COUNT	3	3399
사장	CV_POSITION	2	65	50	15	사장	65	CV_POSITION	1	4600
6월	DT_MONTH	2	59	44	15	6월	64	DT_MONTH	2	1474
6월	DT_DURATION	2	5	2	3	6월	64	DT_DURATION	2	1911
낮	TI_DURATION	1	64	62	2	낮	64	TI_DURATION	1	2402
대선	EV_OTHERS	2	64	56	8	대선	64	EV_OTHERS	1	981
어머니	CV_RELATION	3	64	55	9	어머니	64	CV_RELATION	1	1813
유럽	LCG_CONTINENT	2	64	53	11	유럽	64	LCG_CONTINENT	1	222
작년	DT_YEAR	2	64	48	16	작년	64	DT_YEAR	1	2426
8시	TI_HOUR	2	63	48	15	8시	63	TI_HOUR	1	915
시나리오	CV_ART	4	63	48	15	시나리오	63	CV_ART	1	7666
3	QT_ORDER	1	36	30	6	3	62	QT_ORDER	9	2695
3	QT_OTHERS	1	12	11	1	3	62	QT_OTHERS	9	1917
3	QT_AGE	1	5	4	1	3	62	QT_AGE	9	1336
3	QT_SPORTS	1	2	2	0	3	62	QT_SPORTS	9	376
3	QT_MAN_COUNT	1	2	2	0	3	62	QT_MAN_COUNT	9	2254
3	QT_COUNT	1	2	2	0	3	62	QT_COUNT	9	3399
3	TMI_MODEL	1	1	1	0	3	62	TMI_MODEL	9	72
3	TI_HOUR	1	1	1	0	3	62	TI_HOUR	9	915
3	DT_DAY	1	1	0	1	3	62	DT_DAY	9	5422
2014	DT_YEAR	4	62	54	8	2014	62	DT_YEAR	1	2426
9점	QT_OTHERS	2	62	51	11	9점	62	QT_OTHERS	1	1917
뉴욕	LCP_CITY	2	62	53	9	뉴욕	62	LCP_CITY	1	1768
삼성	OGG_ECONOMY	2	51	43	8	삼성	62	OGG_ECONOMY	2	2003
삼성	OGG_SPORTS	2	11	6	5	삼성	62	OGG_SPORTS	2	1017
2009년	DT_YEAR	5	61	47	14	2009년	61	DT_YEAR	1	2426
3점	QT_OTHERS	2	57	52	5	3점	61	QT_OTHERS	3	1917
3점	QT_SPORTS	2	3	2	1	3점	61	QT_SPORTS	3	376
3점	QT_ORDER	2	1	1	0	3점	61	QT_ORDER	3	2695
아시아	LCG_CONTINENT	3	61	51	10	아시아	61	LCG_CONTINENT	1	222
위원장	CV_POSITION	3	61	46	15	위원장	61	CV_POSITION	1	4600
3편	QT_ORDER	2	55	49	6	3편	60	QT_ORDER	2	2695
3편	QT_COUNT	2	5	4	1	3편	60	QT_COUNT	2	3399
미	LCP_COUNTRY	1	44	37	7	미	60	LCP_COUNTRY	2	4628
미	OGG_POLITICS	1	16	14	2	미	60	OGG_POLITICS	2	4964
부모	CV_RELATION	2	60	49	11	부모	60	CV_RELATION	1	1813
위	TM_DIRECTION	1	57	49	8	위	60	TM_DIRECTION	3	651
위	TM_CELL_TISSUE_ORGAN	1	2	2	0	위	60	TM_CELL_TISSUE_ORGAN	3	131
위	PS_NAME	1	1	1	0	위	60	PS_NAME	3	21537
2시간	TI_DURATION	3	58	52	6	2시간	59	TI_DURATION	2	2402
2시간	TI_HOUR	3	1	1	0	2시간	59	TI_HOUR	2	915
버스	AF_TRANSPORT	2	59	45	14	버스	59	AF_TRANSPORT	1	1217
호주	LCP_COUNTRY	2	55	47	8	호주	59	LCP_COUNTRY	2	4628
호주	OGG_SPORTS	2	4	4	0	호주	59	OGG_SPORTS	2	1017
1시	TI_HOUR	2	58	40	18	1시	58	TI_HOUR	1	915
총	AF_WEAPON	1	23	22	1	총	58	AF_WEAPON	5	307
총	QT_PRICE	1	20	16	4	총	58	QT_PRICE	5	999
총	QT_COUNT	1	11	8	3	총	58	QT_COUNT	5	3399
